date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:56	3565/3565	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Apr%202019%2012:14:24%20GMT	https://naviri.co.id/public/css/meanmenu.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/meanmenu.css	(from https://www.naviri.co.id/)
11:49:56	119289/119289	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/spacing.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/spacing.css	(from https://www.naviri.co.id/)
11:49:57	63917/63917	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20May%202019%2003:10:36%20GMT	https://naviri.co.id/public/css/style.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/style.css	(from https://www.naviri.co.id/)
11:49:57	8294/8294	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/css/responsive.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/responsive.css	(from https://www.naviri.co.id/)
11:49:57	19998/19998	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Mar%202019%2005:06:46%20GMT	https://naviri.co.id/public/css/venobox.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/css/venobox.css	(from https://www.naviri.co.id/)
11:49:57	1016/1016	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20May%202019%2000:32:56%20GMT	https://naviri.co.id/public/vendor/assets/css/style.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/vendor/assets/css/style.css	(from https://www.naviri.co.id/)
11:49:58	109514/109514	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20May%202019%2000:32:54%20GMT	https://naviri.co.id/public/vendor/assets/css/effect.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/vendor/assets/css/effect.css	(from https://www.naviri.co.id/)
11:49:58	9134/9134	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20May%202019%2022:42:16%20GMT	https://naviri.co.id/public/vendor/assets/src/flashy.min.css	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/vendor/assets/src/flashy.min.css	(from https://www.naviri.co.id/)
11:49:58	7492/7492	---M--	200	added ('OK')	image/gif	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/img/preloader.gif	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/img/preloader.gif	(from https://www.naviri.co.id/)
11:49:58	36902/36902	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202019%2000:13:16%20GMT	https://naviri.co.id/public/uploads/logo.png	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/uploads/logo.png	(from https://www.naviri.co.id/)
11:49:59	511269/511269	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Apr%202019%2023:23:40%20GMT	https://naviri.co.id/public/uploads/slider-1.png	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/uploads/slider-1.png	(from https://www.naviri.co.id/)
11:50:10	48358/48358	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2004:50:00%20GMT	https://www.naviri.co.id/portfolio	C:/My%20Web%20Sites/sombahasbo/www.naviri.co.id/portfolio.html	(from https://www.naviri.co.id/)
11:50:11	22480/22480	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Sep%202023%2004:50:11%20GMT	https://www.naviri.co.id/about	C:/My%20Web%20Sites/sombahasbo/www.naviri.co.id/about.html	(from https://www.naviri.co.id/)
11:50:11	329877/329877	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202019%2000:18:22%20GMT	https://naviri.co.id/public/uploads/slider-2.jpg	C:/My%20Web%20Sites/sombahasbo/naviri.co.id/public/uploads/slider-2.jpg	(from https://www.naviri.co.id/)
